路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/子任务文件夹名取消限制/任意名称/中文名作子任务,子任务文件夹使用纯中文名仍被识别,位于「测试任务」下一级的文件夹，无论名称是中文、英文、数字或混合，均被视为合法子任务；其下「测试案例」目录中的文件可正常识别、打开与推送。旧规要求 <编号>_<名称> 格式已移除。,"步骤1:
在「测试任务」下新建文件夹，命名为纯中文（如「登录模块」）
步骤2:
在该文件夹内新建「测试案例」目录并放入一个 YAML 案例文件
步骤3:
打开并推送该文件","【业务功能检查】
- 文件正常以案例编辑器打开，无格式报错
- 推送成功，不提示「目录格式不正确」
- 与旧格式文件夹体验一致",高
合并测试阶段/子任务文件夹名取消限制/任意名称/英文或编号名作子任务,子任务文件夹使用英文/单号名仍被识别,子任务文件夹可为 Jira 单号、英文代号等业务习惯名称，系统不要求含中文或特定前缀。,"步骤1:
在「测试任务」下新建文件夹，命名为英文代号（如 PROJ-123 或 regression_v2）
步骤2:
其下建「测试案例」目录并放入案例文件
步骤3:
打开并推送","【业务功能检查】
- 文件被正常识别为案例文件
- 推送 / 绑定等能力正常可用
- 不要求名称含下划线或编号前缀",高
合并测试阶段/子任务文件夹名取消限制/任意名称/含空格分隔符,子任务文件夹名含空格/特殊分隔符仍被识别,子任务文件夹名可包含空格、连字符、点号等分隔符，不影响识别。,"步骤1:
在「测试任务」下新建文件夹，命名为含空格与连字符（如「回归测试 - 一期」）
步骤2:
其下建「测试案例」目录并放入案例文件
步骤3:
打开并推送","【业务功能检查】
- 含空格 / 连字符的文件夹名被正确识别
- 文件正常打开与推送
- 路径解析不因特殊字符出错",中
合并测试阶段/子任务文件夹名取消限制/层级保留/测试任务测试案例两级固定,仍要求测试任务与测试案例两级固定名,放开的是中间子任务文件夹名；路径中必须存在名为「测试任务」的祖先目录，其下一级为子任务文件夹，再下一级必须为名为「测试案例」的目录，三者层级与名称缺一不可。,"步骤1:
构造路径：某目录/测试任务/子任务A/测试案例/case.yaml，打开推送
步骤2:
构造路径：某目录/子任务A/测试案例/case.yaml（缺「测试任务」根），尝试推送
步骤3:
构造路径：某目录/测试任务/子任务A/case.yaml（缺「测试案例」层），尝试推送","【业务功能检查】
- 步骤1 正常识别并推送
- 步骤2 判定不合格，提示缺少「测试任务」层级
- 步骤3 判定不合格，提示缺少「测试案例」层级",高
合并测试阶段/子任务文件夹名取消限制/层级保留/动态定位测试任务根,测试任务目录位置不限固定倒数层级,系统从路径中动态查找「测试任务」所在位置（不限定固定倒数层级），只要向上能找到该目录并满足层级链即判定合格。,"步骤1:
在较深路径中嵌套：a/b/c/测试任务/子任务X/测试案例/case.yaml，打开推送
步骤2:
在较浅路径：测试任务/子任务Y/测试案例/case.yaml，打开推送","【业务功能检查】
- 两种深度的路径均被正确识别
- 系统动态定位「测试任务」根，不依赖固定层级位置",中
合并测试阶段/子任务文件夹名取消限制/子目录嵌套/测试案例下任意深度,案例在测试案例子目录深层仍被识别,案例文件可直接放在「测试案例/」根下，也可放在其任意深度子文件夹中，均被识别为合法案例文件。,"步骤1:
在「测试案例」根下放一个案例文件，打开推送
步骤2:
在「测试案例/模块A/场景B/」深层放一个案例文件，打开推送","【业务功能检查】
- 根目录案例被识别
- 深层子目录案例同样被识别并可推送
- 不限制子目录深度",高
合并测试阶段/子任务文件夹名取消限制/识别失败/推送明确路径提示,不在合格目录时推送给出明确路径提示,从资源管理器或编辑器发起推送时，系统先校验是否在合格目录下；不在时给出明确提示，说明应放置于「测试任务 / <子任务文件夹> / 测试案例 /」结构，并展示当前路径。,"步骤1:
将一个案例文件放在「测试任务」之外（如桌面或项目根）
步骤2:
右键该文件执行推送","【业务功能检查】
- 推送被拦截，不发起后端调用
- 弹窗提示「文件不在合规目录下（测试任务/<子任务文件夹>/测试案例/）」
- 提示中展示当前文件路径，便于用户自查",高
合并测试阶段/子任务文件夹名取消限制/识别失败/绑定提示目录结构,绑定操作不在子任务结构下时提示,执行案例与要点绑定等关联操作时，若当前文件不在「测试任务 / <子任务文件夹> /」结构下，提示用户「当前文件不在测试任务子任务目录结构下」，引导移动到正确位置。,"步骤1:
将案例文件放在非子任务结构路径下
步骤2:
对该文件执行 point ↔ case 绑定操作","【业务功能检查】
- 绑定被阻止
- 提示「当前文件不在测试任务子任务目录结构下」
- 不继续执行绑定流程",中
合并测试阶段/子任务文件夹名取消限制/新建约束/仅在测试案例内新建,新建案例仅允许在测试案例目录或其子文件夹,在资源管理器中新建测试案例时，仅允许在「测试案例」目录或其子文件夹内创建，避免生成游离文件；该约束与子任务文件夹名无关。,"步骤1:
在「测试任务/子任务/测试案例/」内右键新建测试案例
步骤2:
在「测试任务/子任务/」（非测试案例层）右键尝试新建测试案例","【业务功能检查】
- 步骤1 允许创建并正常生成文件
- 步骤2 提示「只能在测试案例目录或其子文件夹中创建新测试案例」
- 子任务文件夹名本身不影响新建权限",中
合并测试阶段/子任务文件夹名取消限制/存量兼容/旧格式目录无需重命名,历史不符合旧格式目录可直接复用,历史项目中不符合旧 <编号>_<名称> 格式的目录，无需重命名即可直接作为子任务容器使用，其下案例文件正常识别。,"步骤1:
打开一个历史项目，其子任务文件夹名为旧习惯（无编号前缀，如「旧需求验证」）
步骤2:
直接打开其下「测试案例」中的文件并推送","【业务功能检查】
- 旧命名目录被正常识别为子任务
- 无需重命名即可编辑与推送
- 与符合旧格式的目录行为一致",高
