路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/推送增强/跳过维度/含样例行显示跳过维度且三数相加对齐,弹窗概要栏在 skipped>0 时显示「跳过 N」且总计=成功+失败+跳过,showPushResult 透传 skipped；05a-push-result.js 当 skipped>0 时概要栏追加「跳过 N」第四维度，total 恒等于 successCount + failures.length + skipped，避免「总计 13 / 成功 12 / 失败 0」与底部矛盾。,"步骤1:
准备一个文件：12 行合法案例 + 1 行样例占位（testcase_id=「案例唯一标识，不可修改」）
步骤2:
选中全部 13 行推送
步骤3:
查看结果弹窗概要栏与底部文案","【业务功能检查】
- 概要栏显示：总计 13 / 成功 12 / 失败 0 / 跳过 1（四数相加对齐）
- 底部文案含「（已跳过 1 行样例数据）」
- 弹窗不会被误判为「全部成功」或「有失败」",高
合并测试阶段/推送增强/跳过维度/全样例行终止且不调后端,全部选中行都是样例时终止推送、skipped=行数、不调用后端,filterTemplateExampleRows：全部选中行都是样例 → 终止并返回样例失败明细，skipped=过滤掉的行数，不进入后端调用；pushCore 在 total 全为样例时直接以 onComplete 汇总（skipped 维度）。,"步骤1:
准备一个仅含样例占位行的文件（如 3 行 testcase_id 均为「案例唯一标识，不可修改」）
步骤2:
推送该文件
步骤3:
观察是否发起后端请求与弹窗内容","【业务功能检查】
- 弹窗显示样例数据提示，skipped=3
- 后端推送接口未被调用（可用诊断日志/网络面板确认）
- 文件 testCaseNo 不变",高
合并测试阶段/推送增强/跳过维度/无样例行不显示跳过维度,正常文件无样例行时 skipped=0，弹窗不显示「跳过」维度,skipped 默认 0；05a-push-result.js 仅当 skipped>0 才渲染「跳过 N」；message.ts 独立模态框 skipHint 在 skipped=0 时为空串。,"步骤1:
准备一个无样例占位的合法文件（如 5 行全部有效）
步骤2:
推送并查看结果弹窗","【业务功能检查】
- 概要栏仅显示 总计/成功/失败 三维度，不出现「跳过」
- total = success + fail 严格相等
- 底部文案无「已跳过」字样",中
合并测试阶段/推送增强/跳过维度/接口body循环引用兜底不崩溃,失败文案对循环引用 body 降级为 String 而不升级为崩溃,pushCore 兜底文案增强：JSON.stringify(body) 包 try/catch，body 含循环引用时不再把「接口失败」升级为「扩展端崩溃」，失败即降级到 String(body) 并附 returnCode/形态。,"步骤1:
构造一个后端返回含循环引用结构的失败响应（或模拟 body 不可序列化）
步骤2:
触发推送失败汇总
步骤3:
查看失败 reason 文案与扩展是否崩溃","【业务功能检查】
- 扩展端不因 body 序列化失败而崩溃（不抛未捕获异常）
- 失败 reason 仍给出可读信息（降级 String 或含 returnCode）
- 推送流程正常进入 onComplete 展示失败",中
合并测试阶段/推送增强/跳过维度/诊断日志failedTsIds截断前20附N,批量失败超过 20 个时诊断日志 failedTsIds 截断到前 20 并附 +N,pushHandler/b42b274：诊断日志中 failedTsIds 截断到前 20 个并附「+N」提示，避免批量失败时打印超长行影响可读性。,"步骤1:
准备一个 50 行全部后端校验失败的文件
步骤2:
开启推送链路诊断日志并推送
步骤3:
查看「TestCase 推送诊断」频道 failedTsIds 输出","【业务功能检查】
- failedTsIds 只列出前 20 个 tsId
- 末尾附「+30」之类提示标明被截断数量
- 不出现一行超长全部 tsId 导致日志难以阅读",低
合并测试阶段/推送增强/YAML前置拦截/语法错误中止推送并弹Warning,推送含语法错误的 .yaml 时前置校验拦截并弹 Warning（含快捷入口）,pushHandler.ts：推送 .yaml/.yml 前先跑 validateYamlContent + 发布诊断；存在 error 级问题立即中止推送并 showWarningMessage（按钮「YAML 修复全部」「查看问题面板」），遥测 explorerPush.aborted{reason:yamlSyntaxError}；同时 showPushErrorModal 弹错误详情（首条错误行号+摘要）。,"步骤1:
准备一个语法错误的 .yaml 案例文件（如 steps 缩进错乱/非法字符导致解析失败）
步骤2:
推送该文件
步骤3:
观察是否中止及弹窗内容与遥测","【业务功能检查】
- 推送被中止，后端接口未被调用
- 弹 Warning 提示「存在 YAML 语法错误（首条：第 N 行）」，含「YAML 修复全部」「查看问题面板」按钮
- 遥测记录 explorerPush.aborted{reason:yamlSyntaxError}
- 错误弹窗给出首条错误行号与摘要",高
合并测试阶段/推送增强/YAML前置拦截/多行错误摘要换行展示,错误弹窗多行摘要按 pre-line 正确换行（不挤成一行）,"services/utils.ts：通用错误弹窗内容 <p> 增加 white-space:pre-line + text-align:left，使「首条错误（第 N 行，共 M 处错误）：
摘要」这类多行文本正确换行、左对齐展示。","步骤1:
准备一个含多处语法错误的 .yaml 文件
步骤2:
触发推送前置拦截弹窗
步骤3:
查看错误弹窗中错误摘要的排版","【业务功能检查】
- 错误摘要按 
 换行逐行展示，不被压成一行
- 文本左对齐、行高可读
- 多行样式在「YAML 语法错误」与「YAML 校验器异常」两类错误弹窗均生效",中
合并测试阶段/推送增强/YAML前置拦截/校验器异常兜底中止,validateYamlContent 自身抛异常时弹「YAML 校验器异常」并中止,pushHandler.ts：validateYamlContent 调用若抛异常 → 弹「YAML 校验器异常，已终止推送」Warning 并中止，遥测 explorerPush.aborted{reason:yamlValidatorCrash}，不把异常泄露为崩溃。,"步骤1:
构造使 YAML 校验器自身崩溃的场景（或 mock 校验器抛错）
步骤2:
推送该 .yaml 文件
步骤3:
观察弹窗与遥测","【业务功能检查】
- 推送中止，不调用后端
- 弹窗文案为「YAML 校验器异常」并提示重试
- 遥测记录 explorerPush.aborted{reason:yamlValidatorCrash}
- 扩展端不出现未捕获崩溃",中
合并测试阶段/推送增强/YAML前置拦截/合法YAML放行,语法正确的 .yaml 文件不被拦截、正常进入推送,仅当 validateYamlContent 返回 error 级问题才拦截；合法 .yaml 通过前置校验，继续走解析→映射→推送流程。,"步骤1:
准备一个语法正确的 .yaml 案例文件
步骤2:
推送该文件","【业务功能检查】
- 不弹 YAML 语法错误 Warning
- 文件正常进入推送流程（按后续结果弹窗判断成功/失败）
- 校验器未误伤合法文件",中
合并测试阶段/推送增强/装饰URI精确刷新/绑定保存仅刷新受影响URI,绑定弹窗保存后仅对源∪新对端∪旧对端 URI 精确刷新装饰,BindDialogProvider 保存绑定后，受影响 URI = 源文件 ∪ 新对端 ∪ 旧对端（去重），调用 refreshDecorations(affectedUris)；BindTaskProvider.refresh(uris) 在 uris 非空时只对给定 URI fire，避免全量重绘引起的 webview 闪烁。,"步骤1:
打开多文件工作区，文件 A 未绑定、文件 B 已绑定到 C
步骤2:
对 A 发起绑定到 B 并保存
步骤3:
观察各文件装饰图标与重绘范围","【业务功能检查】
- 仅 A、B、C（旧对端）的装饰图标刷新
- 其他无关文件的装饰不重绘（无全局闪烁）
- A 显示为「已绑」、B 保持已绑、C 因解除旧绑定显示为「未绑」",高
