路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/新增测试要点文件/入口触发/右键子菜单显示,资源管理器右键测试大纲文件夹显示新增测试要点子菜单,验证在 测试任务/<任务名>/测试大纲 文件夹上右键时，资源管理器上下文菜单出现「新增测试要点」子菜单，展开后可选择新建 Markdown 或 XMind 格式的要点文件。,"步骤1:
在资源管理器中定位到「测试任务/任务A/测试大纲」文件夹
步骤2:
右键点击该文件夹
步骤3:
观察弹出的上下文菜单","【业务功能检查】
- 菜单中出现「新增测试要点」子菜单项
- 子菜单展开后包含「Markdown (.md)」与「XMind (.xmind)」两项
- 该菜单仅出现在测试大纲目录/文件上，不出现在测试案例目录",高
合并测试阶段/新增测试要点文件/入口触发/右键子文件夹显示,右键测试大纲下任意子文件夹显示新增测试要点子菜单,验证当右键位置位于 测试任务/<任务名>/测试大纲/ 之下的任意子文件夹时，同样弹出「新增测试要点」子菜单，新文件将在该子文件夹下创建。,"步骤1:
在「测试任务/任务A/测试大纲」下新建或定位子文件夹「登录模块」
步骤2:
右键点击「登录模块」子文件夹
步骤3:
观察上下文菜单","【业务功能检查】
- 出现「新增测试要点」子菜单
- 选择格式后新文件创建于「登录模块」子文件夹内
- 不误创建到上级「测试大纲」根目录",高
合并测试阶段/新增测试要点文件/入口触发/右键已有md文件显示,右键已有md文件显示新增测试要点子菜单,验证在测试大纲目录下已有的 .md 文件上右键时，同样出现「新增测试要点」子菜单，且新文件创建在右键文件所在的同一目录。,"步骤1:
在「测试大纲」目录下右键一个已有 .md 文件
步骤2:
选择「新增测试要点」子菜单中的 Markdown 项
步骤3:
核对新文件创建位置","【业务功能检查】
- 右键 .md 文件出现子菜单
- 新文件与所右键文件处于同一目录
- 新文件默认名为「测试要点.md」系列",高
合并测试阶段/新增测试要点文件/入口触发/右键已有xmind文件显示,右键已有xmind文件显示新增测试要点子菜单,验证在测试大纲目录下已有的 .xmind 文件上右键时，同样出现「新增测试要点」子菜单，新文件创建于同目录。,"步骤1:
在「测试大纲」目录下右键一个已有 .xmind 文件
步骤2:
选择「新增测试要点」子菜单中的 XMind 项
步骤3:
核对新文件创建位置","【业务功能检查】
- 右键 .xmind 文件出现子菜单
- 新文件创建于同目录，默认名「测试要点.xmind」系列",高
合并测试阶段/新增测试要点文件/入口触发/非测试大纲不显示,右键非测试大纲目录不显示新增测试要点菜单,验证在测试案例、任务根目录等非测试大纲位置右键时，不会出现「新增测试要点」菜单，避免误建文件到错误目录。,"步骤1:
右键「测试任务/任务A/测试案例」文件夹
步骤2:
右键「测试任务/任务A」根文件夹
步骤3:
分别观察上下文菜单","【业务功能检查】
- 上述位置均不出现「新增测试要点」子菜单
- 测试案例位置仅出现「新增测试案例」子菜单（互不串菜单）",中
合并测试阶段/新增测试要点文件/入口触发/命令面板入口,命令面板可执行新增测试要点命令并弹出格式选择,验证通过命令面板输入「新增测试要点」并回车后可触发新建流程，并弹出 Markdown/XMind 格式选择框，选择后文件按当前所在测试大纲目录创建。,"步骤1:
按 Cmd+Shift+P(Mac)/Ctrl+Shift+P(Win) 打开命令面板
步骤2:
输入「新增测试要点」并回车
步骤3:
在弹出的格式选择框中选择「Markdown (.md)」","【业务功能检查】
- 命令面板可检索到「新增测试要点」
- 执行后弹出格式选择框（Markdown/XMind）
- 选择后按当前活动文件所在测试大纲目录创建文件",中
合并测试阶段/新增测试要点文件/目录校验/测试大纲根目录创建,在测试大纲根目录下创建成功,验证在「测试任务/任务名/测试大纲」根文件夹上新建要点文件时，文件创建于该目录并可正常打开编辑。,"步骤1:
右键「测试任务/任务A/测试大纲」文件夹
步骤2:
选择「新增测试要点→Markdown」
步骤3:
将文件名改为「登录要点」并回车","【业务功能检查】
- 文件成功创建于「测试任务/任务A/测试大纲/登录要点.md」
- 文件自动以默认编辑器打开
- 文件名处于可编辑（inline）状态",高
合并测试阶段/新增测试要点文件/目录校验/测试大纲子目录创建,在测试大纲子目录下创建成功,验证在测试大纲目录下的子文件夹（如多级目录）上新建文件时，文件创建于该子文件夹内且层级保持正确。,"步骤1:
在「测试任务/任务A/测试大纲/支付/退款」子目录上右键
步骤2:
选择「新增测试要点→XMind」
步骤3:
命名并确认","【业务功能检查】
- 文件创建于「退款」子目录内
- 路径层级保持正确，不被提升到根目录",中
合并测试阶段/新增测试要点文件/目录校验/非测试大纲拒绝,目标路径不含测试大纲时拒绝创建并提示,验证当新建位置不在测试大纲目录体系内时，系统拒绝创建并给出明确提示，不生成游离文件。,"步骤1:
在「测试任务/任务A/测试案例」文件夹上右键
步骤2:
尝试通过新增测试要点流程创建文件
步骤3:
观察行为","【业务功能检查】
- 弹出警告「只能在测试大纲目录或其子文件夹中创建新测试要点」
- 不创建任何文件
- 工作区文件结构不被破坏",高
合并测试阶段/新增测试要点文件/格式选择/子菜单Markdown免弹窗,右键子菜单直接选Markdown免弹窗创建md,验证在资源管理器中直接选择「新增测试要点→Markdown」时，无需再弹出格式选择框即可直接创建 .md 文件。,"步骤1:
右键「测试大纲」目录
步骤2:
选择「新增测试要点→Markdown (.md)」
步骤3:
观察是否弹出格式选择框","【业务功能检查】
- 不弹出格式选择框
- 直接创建「测试要点.md」
- 文件使用 Markdown 模板内容",中
