路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/绑定和关联/绑定/入口与方向校验/要点右键显示,资源管理器右键测试大纲下的 .md 显示「绑定测试案例」,源为 且位于 测试任务/<任务>/测试大纲/ 下时，应出现「绑定测试案例」右键菜单，打开绑定对话框（point-to-cases）,步骤1: 定位「测试任务/任务A/测试大纲/登录要点 」 步骤2: 右键该 文件 步骤3: 观察上下文菜单。,【业务功能检查】 - 出现「绑定测试案例」菜单项 - 点击后打开绑定对话框，方向为 point-to-cases - 对话框扫描同任务下的测试案例候选,高
合并测试阶段/绑定和关联/绑定/入口与方向校验/要点xmind右键,资源管理器右键测试大纲下的 .xmind 显示「绑定测试案例」,对 与 同样处理（均属要点），需验证 在测试大纲下也能触发 point-to-cases。,步骤1: 定位「测试任务/任务A/测试大纲/登录要点 」 步骤2: 右键该文件 步骤3: 点击「绑定测试案例」。,【业务功能检查】 - 出现「绑定测试案例」菜单项 - 打开对话框方向为 point-to-cases - 候选为同任务测试案例目录下的,高
合并测试阶段/绑定和关联/绑定/入口与方向校验/案例右键显示,资源管理器右键测试案例下的 .csv 显示「绑定测试要点」,case-to-points 方向：源为 且位于 测试任务/<任务>/测试案例/ 下时，显示「绑定测试要点」菜单。,步骤1: 定位「测试任务/任务A/测试案例/登录案例 」 步骤2: 右键该文件 步骤3: 点击「绑定测试要点」。,【业务功能检查】 - 出现「绑定测试要点」菜单项 - 打开对话框方向为 case-to-points - 候选为同任务测试大纲下的,高
合并测试阶段/绑定和关联/绑定/入口与方向校验/案例多扩展名,测试案例目录下的 .yaml、.yml、.json 右键均显示「绑定测试要点」,允许的案例扩展名集合为，需验证四种扩展名右键均生效。,步骤1: 分别在测试案例目录下右键 案例 、案例 、案例 步骤2: 逐一观察菜单 步骤3: 点击「绑定测试要点」。,【业务功能检查】 - 三种扩展名右键均出现「绑定测试要点」 - 均能打开 case-to-points 对话框 - 候选列表包含测试大纲下的要点文件,中
合并测试阶段/绑定和关联/绑定/入口与方向校验/非任务目录拦截,不在「测试任务<子任务>」结构下的文件右键绑定被拦截并提示,与 均校验必须位于 测试任务/<子任务>/ 目录结构下，否则 warning 且不打开对话框。,步骤1: 在任意非测试任务目录（如工作区根 /tmp）下创建文件并右键 步骤2: 点击「绑定测试案例」或「绑定测试要点」 步骤3: 观察提示。,"【业务功能检查】 - 弹出 warning：当前文件不在 ""测试任务/<子任务>"" 目录结构下 - 不打开绑定对话框 -",中
合并测试阶段/绑定和关联/绑定/入口与方向校验/方向错配拦截,要点文件点击「绑定测试要点」方向错配被拦截,当用户在测试大纲的 上错误地触发 case-to-points（或测试案例的 上触发 point-to-cases）时，方向校验失败并提示正确目录。,步骤1: 在测试大纲下右键，选择非预期的「绑定测试要点」入口 步骤2: 或在测试案例下右键，选择「绑定测试案例」 步骤3: 观察提示。,"【业务功能检查】 - 要点侧提示「""绑定测试案例""只能用于 测试大纲 目录下的文件」 - 案例侧提示「""绑定测试要点""只能用于 测试案例 目录下的文件」 - 均不打开对话框",中
合并测试阶段/绑定和关联/绑定/入口与方向校验/命令面板入口,命令面板可执行「绑定测试案例」「绑定测试要点」命令并打开对话框,注册 . / 命令（可见命令面板）。无右键 uri 时回退到当前活动编辑器文件推断方向。,步骤1: 打开测试大纲下的 要点 步骤2: 命令面板执行「绑定测试案例」 步骤3: 对话框打开后核对候选。,【业务功能检查】 - 命令面板可检索到绑定命令 - 以活动文件为源打开对话框 - 方向由源文件类型正确推断,中
合并测试阶段/绑定和关联/绑定/绑定对话框/候选扫描,打开对话框扫描同任务下全部候选案例文件,→ ：在 测试任务/<任务>/测试案例 递归扫描 （跳过以 . 开头的目录）,步骤1: 右键测试大纲下的 要点，点击绑定测试案例 步骤2: 等待对话框加载（异步扫描不阻塞） 步骤3: 查看候选列表。,【业务功能检查】 - 候选列出同任务测试案例目录下所有支持扩展名的文件 - 候选按相对路径排序（zh-） - 加载期间显示 loading，不假死,高
合并测试阶段/绑定和关联/绑定/绑定对话框/要点候选,打开「绑定测试要点」对话框扫描同任务下候选要点文件,case-to-points 方向下，候选扫描目标目录为 测试大纲，扩展名限定。,步骤1: 右键测试案例下的 案例，点击绑定测试要点 步骤2: 查看候选列表。,【业务功能检查】 - 候选列出同任务测试大纲下 - 不含测试案例目录内的文件,高
合并测试阶段/绑定和关联/绑定/绑定对话框/已绑定标记,候选正确标记「已与当前源绑定」状态,通过 / 计算，标记 =true 的候选。,步骤1: 预先将该要点与一个案例绑定 步骤2: 重新打开绑定对话框 步骤3: 观察该案例候选状态。,【业务功能检查】 - 已绑定的案例在候选中标记为已绑定 - 已绑定项默认勾选/高亮 - 其余为未绑定,高
合并测试阶段/绑定和关联/绑定/绑定对话框/被占用标记,候选被其他要点占用时标记不可选并展示占用者,/ 构建占用表；若候选的 占用者非当前源，则 =true， 禁止选择并展示 owner 相对路径。,步骤1: 将 案例 已绑定给 要点X 步骤2: 右键 要点Y 打开绑定对话框 步骤3: 观察 案例A 候选。,【业务功能检查】 - 案例A 显示「已被其他要点绑定」且不可选 - tooltip 展示占用者相对路径（要点X） - 不会因误选破坏 1:1 占用,高
合并测试阶段/绑定和关联/绑定/绑定对话框/一对一约束,选择多个候选保存时被拒绝并保持 1:1,对话框保存时若选中超过 1 个，立即回传提示 1:1，不调用底层写入。,步骤1: 打开绑定对话框（point-to-cases） 步骤2: 勾选两个不同案例 步骤3: 点击保存。,【业务功能检查】 - 弹窗提示「测试要点与测试案例为 1:1 关系，最多只能绑定 1 个测试案例」 - 绑定库未变更 - 对话框不关闭，可继续操作,高
合并测试阶段/绑定和关联/绑定/绑定对话框/占用拒绝写入,目标案例已被其他要点占用时 拒绝写入,. ：对传入的每个，若被其他 point（≠当前 rel）占用，则抛错「该测试案例已被其他测试要点绑定」。,步骤1: 案例A 已绑定 要点X 步骤2: 在 要点Y 对话框中选择 案例A 并保存 步骤3: 观察结果。,【业务功能检查】 - 保存失败，弹窗显示拒绝原因 - 绑定库不变更 -,高
合并测试阶段/绑定和关联/绑定/绑定对话框/要点已绑其他案例,目标要点已绑定其他案例时 拒绝写入,若目标 point 已绑定非空 case（且不是当前），抛错「该测试要点已绑定其他测试案例」，保持 1:1。,步骤1: 要点X 已绑定 案例A 步骤2: 在 案例B 对话框中选择 要点X 并保存 步骤3: 观察结果。,【业务功能检查】 - 保存失败并提示要点已绑定其他案例 - 绑定库不变更 - 不影响原 要点X↔案例A 关系,高
合并测试阶段/绑定和关联/绑定/绑定对话框/取消关闭,点击取消或关闭对话框不写入任何绑定,对话框发送取消消息后关闭；绑定库不受影响。,步骤1: 打开绑定对话框并勾选一个候选 步骤2: 点击「取消」按钮（或关闭面板） 步骤3: 检查绑定库。,【业务功能检查】 - 无写入发生 - 原绑定关系保持不变 -,中
合并测试阶段/绑定和关联/绑定/绑定对话框/空态提示,目标目录无任何候选时显示空态并可打开目录,返回空列表时，对话框展示空态提示并提供「打开目录」按钮（消息 →）,步骤1: 在测试案例目录为空的情况下打开绑定测试案例对话框 步骤2: 观察空态文案 步骤3: 点击「打开目录」。,【业务功能检查】 - 显示「暂无候选案例」类空态提示 - 点击打开目录可在资源管理器定位到测试案例目录 - 不报错,中
合并测试阶段/绑定和关联/绑定/绑定对话框/保存后刷新,绑定保存成功后自动刷新装饰器与状态栏,save 成功后回传 （源+新对端+旧对端）给，并 提示「已绑定 1 个测试案例」，随后 300ms 关闭面板。,步骤1: 在对话框中选择一个未占用案例并保存 步骤2: 观察提示与面板 步骤3: 查看资源管理器中两文件的 🔗 装饰。,【业务功能检查】 - 提示「已绑定 1 个测试案例」 - 源文件与对端文件均出现 🔗 徽标 - 状态栏出现跳转按钮（无需切换编辑器）,高
合并测试阶段/绑定和关联/绑定/绑定对话框/解除绑定,选择 0 个候选保存即解除原绑定,/ 传入空数组 → 覆盖式清空该源的所有绑定（等价 unbind）,步骤1: 预先将要点与一个案例绑定 步骤2: 重新打开对话框，取消勾选并保存（选 0 个） 步骤3: 检查绑定库与装饰。,【业务功能检查】 - 提示「已解除绑定」 - 绑定库中该源记录被移除 - 双方 🔗 徽标消失,高
合并测试阶段/绑定和关联/绑定/持久化存储/落库结构,绑定关系写入 绑定存储文件（位于工作区内部存储目录）,"绑定文件位于 <workspace>/，结构 { version:1, bindings:[{point,cases, }] }。",步骤1: 绑定一个要点与案例 步骤2: 打开绑定存储文件 步骤3: 查看结构。,【业务功能检查】 - 文件存在于 下 - version=1，bindings 为数组 - 每条记录含 point、cases（数组）,高
合并测试阶段/绑定和关联/绑定/持久化存储/相对路径存储,绑定路径以相对工作区根的 路径存储（跨平台稳定）,将绝对路径转相对根 路径写入； 反向还原，避免 Windows 反斜杠差异。,步骤1: 在不同工作区结构下分别绑定 步骤2: 查看 json 中 point / cases 字段。,【业务功能检查】 - point、cases 均为相对工作区根的 路径（用 / 分隔） - 不写入绝对路径或反斜杠 - 重新读取能正确还原为绝对路径,中
合并测试阶段/绑定和关联/绑定/持久化存储/覆盖式绑定,重新绑定某要点覆盖其旧案例绑定,为覆盖式：对同一 point，新 cases 替换旧 cases（而非追加），实现重绑语义。,步骤1: 要点X 绑定 案例A 步骤2: 再绑定 要点X → 案例B（仍选 1 个） 步骤3: 检查绑定库。,【业务功能检查】 - 要点X 的 cases 变为 [案例B] - 不再包含 案例A - 案例A 的占用被释放,高
合并测试阶段/绑定和关联/绑定/持久化存储/占用校验拒绝,持久化层拒绝造成 1:1 占用的写入,/ 内部均做占用校验；尝试把已被占用的对端绑给新源时抛错。,步骤1: 案例A 已绑定 要点X 步骤2: 调用 步骤3: 捕获异常。,【业务功能检查】 - 抛出占用冲突错误（指向占用者） - 绑定库不被部分写入破坏,高
合并测试阶段/绑定和关联/绑定/持久化存储/双向查询,双向查询正确,返回要点绑定的案例绝对路径数组； 反向遍历 bindings 返回包含该案例的要点。,步骤1: 绑定 要点X ↔ 案例A 步骤2: 分别调用 、 步骤3: 核对返回。,【业务功能检查】 - 两查询分别返回对应绝对路径 - 1:1 下各返回唯一一项 - 未绑定方返回空数组,高
合并测试阶段/绑定和关联/绑定/持久化存储/未参与判定,正确判定文件是否参与任何绑定,文件作为 point 或 case 任一角色出现在绑定库时返回 true；空 cases 的记录（仅 point 无案例）返回 false。,步骤1: 查询已绑定要点路径、已绑案例路径、无关文件路径 步骤2: 分别调用。,【业务功能检查】 - 已绑要点/案例返回 true - 无关文件返回 false - 仅有 point 且无 cases 的记录视为未参与绑定,中
合并测试阶段/绑定和关联/绑定/持久化存储/文件缺失安全,绑定文件不存在或解析失败时安全返回空结构,"文件不存在（）或 解析失败时，返回 { version:1, bindings:[] }，不抛错； 在缺失时创建空文件。",步骤1: 删除 point-case- 步骤2: 调用查询 步骤3: 观察返回。,【业务功能检查】 - 返回空 bindings 结构而非崩溃 - 读取后 ensure 已重建空文件 - 不影响其他功能,中
合并测试阶段/绑定和关联/绑定/持久化存储/乐观锁冲突,并发写触发乐观锁 并在监听器层重试一次,提供 乐观锁；若磁盘 mtime 与基线不一致抛。监听器（rename/remove）捕获后无锁重试一次。,步骤1: 模拟两个写操作竞争同一绑定文件 步骤2: 第二个写以第一个的 mtime 为基线 步骤3: 观察异常与重试。,【业务功能检查】 - 后者抛出 （当确实被改动） - 监听器路径下自动无锁重试成功 - 数据最终一致,中
合并测试阶段/绑定和关联/绑定/重命名删除同步/重命名要点,重命名测试要点 md 时绑定库同步更新 point 路径,→ ：若 出现在 bindings[]，则替换为 ；同根内才更新。,步骤1: 绑定 旧要点 ↔ 案例A 步骤2: 将 旧要点 重命名为 新要点 步骤3: 检查绑定库。,【业务功能检查】 - bindings 中 point 更新为新相对路径 - 案例A 的绑定关系保持不变 - 装饰器精确刷新,高
合并测试阶段/绑定和关联/绑定/重命名删除同步/重命名案例,重命名测试案例文件时绑定库同步更新 cases 路径,若 出现在某，则替换为。,步骤1: 绑定 要点X ↔ 旧案例 步骤2: 重命名 旧案例 → 新案例 步骤3: 检查绑定库。,【业务功能检查】 - 对应 更新为新相对路径 - 要点X 的绑定仍有效 - 跳转可正确打开新案例,高
合并测试阶段/绑定和关联/绑定/重命名删除同步/删除要点,删除测试要点 md 时移除整条绑定记录,过滤掉该要点的整条记录，并从其余 cases 剔除该 rel。,步骤1: 绑定 要点X ↔ 案例A 步骤2: 删除 要点 步骤3: 检查绑定库。,【业务功能检查】 - 该 point 记录被整条删除 - 案例A 不再被该要点引用 - 相关 🔗 徽标消失,高
合并测试阶段/绑定和关联/绑定/重命名删除同步/删除案例,删除测试案例文件时从 cases 中剔除并清理空记录,从所有 剔除 rel；若某 record 因此 cases 为空则一并删除。,步骤1: 绑定 要点X ↔ 案例A 步骤2: 删除 案例 步骤3: 检查绑定库。,【业务功能检查】 - 要点 不再含 案例A - 因 cases 为空，该记录被删除 - 装饰与状态栏同步更新,高
