路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/绑定和关联/关联/匹配引擎/类型1最强,parent_id 命中且归一化 path 相等时判 type=1（最强）,pointCaseLinker.matchCore：当 record 的 parent_id 命中某 point 且 normalizePointPath(path) 与该 point.pointPath 相等→ type=1，优先级最高。,"步骤1:
要点列表含 pointId=LGN-001、pointPath=账户中心/登录
步骤2:
案例记录 parent_id=LGN-001、path=账户中心/登录
步骤3:
运行 linkPointsToCases","【业务功能检查】
- 该案例归到 LGN-001，type=1
- stats.matchedByType.type1 +1
- 计入 matchedRecords",高
合并测试阶段/绑定和关联/关联/匹配引擎/类型2路径兜底,仅 path 命中（无或不匹配 parent_id）时判 type=2,matchCore：当 parent_id 完全未命中且归一化 path 命中某 point.pointPath → type=2（路径兜底）。中文 CSV 因无 parent_id 只能走 type=2。,"步骤1:
要点 pointPath=账户中心/登录
步骤2:
案例记录无 parent_id、path=账户中心/登录
步骤3:
运行匹配","【业务功能检查】
- 该案例归到对应要点，type=2
- type1=0、type2+1
- 中文表头 CSV 命中符合此路径",高
合并测试阶段/绑定和关联/关联/匹配引擎/类型3父id,仅 parent_id 命中但 path 不等或缺失时判 type=3,matchCore：parent_id 命中但归一化 path 与该 point 的 pointPath 不相等（或 path 缺失）→ type=3。,"步骤1:
要点 pointId=LGN-001、pointPath=账户中心/登录
步骤2:
案例 parent_id=LGN-001、path=账户中心/注册（不等）
步骤3:
运行匹配","【业务功能检查】
- 该案例归到 LGN-001，type=3
- type3+1
- 仍计入匹配（弱匹配）",高
合并测试阶段/绑定和关联/关联/匹配引擎/父id多值,parent_id 为数组或逗号、分号分隔字符串时正确拆分,"normalizeParentIds：支持数组、逗号(,)、中文逗号(，)、分号(;)、全角分号(；)分隔；空串过滤、trim。","步骤1:
案例 parent_id 分别为 [""LGN-001"",""LGN-002""]、""LGN-001,LGN-002""、""LGN-001；LGN-002""
步骤2:
分别运行匹配","【业务功能检查】
- 三种写法均拆成两个候选父点
- 命中数量与写法无关
- 多余空白被忽略",中
合并测试阶段/绑定和关联/关联/匹配引擎/尾号剥离,parent_id 末尾 -数字 在未命中时剥离兜底（LGN-001-1→LGN-001）,"stripSubIndex：原值查不到时尝试去掉末尾 ""-数字""，命中则记为 strippedParentIds（统计）。","步骤1:
要点 pointId=LGN-001
步骤2:
案例 parent_id=LGN-001-1（原值不命中）
步骤3:
运行匹配","【业务功能检查】
- 通过 -1 剥离命中 LGN-001
- stats.strippedParentIds +1
- 原值已命中时不误剥（避免 LGN-001 被误剥为 LGN）",中
合并测试阶段/绑定和关联/关联/匹配引擎/path归一化,path 归一化统一反斜杠、全角斜杠、间隔点、首尾与连续斜杠,normalizePointPath：\、／、· 转 /；折叠空白；去掉斜杠两侧空白；合并连续 //；去首尾斜杠。,"步骤1:
要点 pointPath=账户中心/登录
步骤2:
案例 path 分别用 账户中心\登录、账户中心／登录、账户中心·登录、/账户中心/登录/、账户中心//登录
步骤3:
运行匹配","【业务功能检查】
- 所有变体均归一化为 账户中心/登录 并命中 type=1/2
- 与要点侧使用同一套规则，避免  对 / 不一致",高
合并测试阶段/绑定和关联/关联/匹配引擎/单点归属,同一案例只归到一个要点（多命中取最强 type）,"matchCore：同一 (pointKey,testcase_id) 去重；多命中时按 type 升序取第一个，避免一个 case 被多个 point 瓜分。","步骤1:
两个要点 pointPath 相同（兄弟点）
步骤2:
案例 path 命中两者
步骤3:
运行匹配","【业务功能检查】
- 该案例仅归到一个 point
- 选中的为 type 最小（最强）者
- 不产生重复归属",高
合并测试阶段/绑定和关联/关联/匹配引擎/多命中告警1,parent_id 数组指向多个不同要点时记为 multiHit 告警,multiHit 判定1：hits 内部含 >1 个不同 pointId（脏数据）→ 该 testcase_id 进 multiHitCases。,"步骤1:
要点 LGN-001、LGN-002 均存在
步骤2:
案例 parent_id=LGN-001,LGN-002
步骤3:
运行匹配","【业务功能检查】
- testcase_id 进 stats.multiHitCases
- 仍按单点归属落库（取最强）
- 埋点 pointCaseLinker.multiHitCase",中
合并测试阶段/绑定和关联/关联/匹配引擎/多命中告警2,案例 path 指向与 parent_id 完全不同的模块时记为 multiHit,multiHit 判定2：path 命中的 pointId 集合与 parent_id 命中集合完全不相交 → multiHit。,"步骤1:
要点 A（path=模块A）、要点 B（path=模块B）
步骤2:
案例 parent_id 命中 A，但 path=模块B
步骤3:
运行匹配","【业务功能检查】
- testcase_id 进 multiHitCases
- 表明 path 与 parent_id 指向不同模块（数据可疑）",中
合并测试阶段/绑定和关联/关联/匹配引擎/同point去重,同一要点内相同 testcase_id 去重（Q8）,matchCore：byPoint[pointKey] 内用 seen 集合按 testcase_id 去重，重复记录只计一次。,"步骤1:
同一要点下两条记录 testcase_id 相同
步骤2:
运行匹配","【业务功能检查】
- 该要点下该 testcase_id 只出现一次
- matchedRecords 不重复计数",中
