路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/批量推送案例/入口与文件收集/多选触发批量,资源管理器多选多个案例文件右键推送进入批量模式,handleFilePush：targets.length>1 时走批量分支（自定义进度面板 + 总结弹窗），而非单文件编辑器内流程。,"步骤1:
在 测试任务/<任务>/测试案例 下多选 2 个以上 .csv 文件
步骤2:
右键「推送测试案例」
步骤3:
观察是否弹出批量进度面板","【业务功能检查】
- 弹出批量推送进度面板而非编辑器内弹窗
- 进度面板逐文件推进
- 埋点 explorerPush.start 的 isMulti=true、fileCount>1",高
合并测试阶段/批量推送案例/入口与文件收集/文件夹递归,右键测试案例文件夹触发递归收集全部子目录案例,collectPushableFiles 递归遍历目录，收集所有 .csv/.yaml/.yml/.json，含嵌套子目录。,"步骤1:
在测试案例目录下建立子目录并放入案例文件
步骤2:
右键该测试案例文件夹「推送测试案例」
步骤3:
查看进度面板收集到的文件数","【业务功能检查】
- 子目录中的案例文件被一并收集
- 进度面板文件数含子目录文件
- 递归深度不受限（until 无合规文件）",高
合并测试阶段/批量推送案例/入口与文件收集/扩展名过滤,仅收集 csv、yaml、yml、json 四类扩展名并忽略其它,"collectPushableFiles 以 PUSH_EXTENSIONS=new Set(['.csv','.yaml','.yml','.json']) 过滤；.txt/.md/.xmind 等不参与。","步骤1:
测试案例目录混入 .txt/.md 与合规文件
步骤2:
右键文件夹推送
步骤3:
核对收集列表","【业务功能检查】
- 仅 .csv/.yaml/.yml/.json 被收集
- .txt/.md 等被忽略
- 提示与面板不含无关文件",高
合并测试阶段/批量推送案例/入口与文件收集/无合规文件提示,所选目录或文件无任何可推送文件时提示无可推送文件,collectPushableFiles 返回空 → showModal warning「无可推送文件」，埋点 explorerPush.aborted reason=noFiles。,"步骤1:
在空目录或非案例目录右键「推送测试案例」
步骤2:
观察提示","【业务功能检查】
- 弹窗提示「无可推送文件」并说明需位于 测试任务/<任务>/测试案例/
- 不进入推送流程
- 埋点 aborted.noFiles",中
合并测试阶段/批量推送案例/入口与文件收集/自然排序,批量文件按资源管理器自然排序即数字智能排序依次推送,"collectPushableFiles 对 entries 用 a.name.localeCompare(b.name, undefined, {numeric:true, sensitivity:'base'}) 排序。","步骤1:
准备 file2.csv、file10.csv、file1.csv
步骤2:
批量推送
步骤3:
观察进度面板顺序","【业务功能检查】
- 推送顺序为 file1→file2→file10（数字智能）
- 与资源管理器展示顺序一致",中
合并测试阶段/批量推送案例/进度与状态/面板展示,批量推送进度面板按文件名与状态实时更新,createPushProgress + progressPanel.update：每文件推送前 pushing，完成后按结果置 done/error/warning，text 含成功失败计数。,"步骤1:
批量推送多个文件
步骤2:
实时观察进度面板每行","【业务功能检查】
- 每行显示文件名
- 状态经历 推送中→成功/失败/错误
- 文本含「成功 X / 失败 Y / 共 Z 条」",高
合并测试阶段/批量推送案例/进度与状态/状态分级,文件结果按成功、部分失败、错误映射为 done、warning、error 三态,pushSingleFile 返回后：有 error→status=error/resultType=error；failCount>0→status=warning/resultType=partialFail；否则 done/success。,"步骤1:
准备一个全成功、一个部分失败、一个错误文件
步骤2:
批量推送
步骤3:
观察面板状态色","【业务功能检查】
- 全成功→done（绿）
- 部分失败→warning（黄，partialFail）
- 错误（未绑/语法错）→error（红）",高
合并测试阶段/批量推送案例/取消控制/中途取消,推送中途点击取消时已完成文件保留结果、剩余文件不再推送,progressPanel.cancelled 在每文件前后检测；break 后 cancelled=true；未推送文件不调用后端。,"步骤1:
批量推送多个较慢文件
步骤2:
进度面板点击取消
步骤3:
核对已处理与剩余","【业务功能检查】
- 取消前已完成的文件结果被保留
- 取消后剩余文件不再发起后端请求
- 总结仍展示已处理文件结果",高
合并测试阶段/批量推送案例/取消控制/取消埋点,取消触达 explorerPush.batch.cancelled 含 completed、remaining、durationMs,"取消分支发送 telemetry：{fileCount, completed:已处理数, remaining:剩余数, durationMs}。","步骤1:
批量推送并中途取消
步骤2:
抓取埋点","【业务功能检查】
- 埋点 explorerPush.batch.cancelled 存在
- completed + remaining = fileCount
- durationMs 反映实际耗时",中
合并测试阶段/批量推送案例/每文件独立结果/成功计数,批量中单文件全部成功计入其 successCount 并汇总,pushSingleFile 返回 successCount=行数、failCount=0；批次 done 时 totalSucc = reduce(successCount)。,"步骤1:
批量推送含 N 行合法案例的单文件
步骤2:
查看该文件结果","【业务功能检查】
- 该文件 successCount=N、failCount=0
- 汇总 totalSucc 含 N
- 状态 done",高
