案例名称,描述,前置条件,步骤描述,预期结果,优先级
"激活插件 - VS Code 启动后自动激活","验证插件在 VS Code 启动完成后自动激活","VS Code 已安装 testcase-viewer 插件","1. 完全关闭 VS Code
2. 重新启动 VS Code
3. 打开命令面板(Cmd+Shift+P)
4. 输入 ""testcaseViewer"" 查看可用命令","【业务功能检查】
- testcaseViewer.viewOnline、testcaseViewer.pushTestCaseFromExplorer 命令已注册
- 命令面板中可搜索到上述命令
- 插件状态显示为已激活",高
"自定义编辑器注册 - CSV 文件","验证双击合规 CSV 文件时使用表格编辑器打开","1. 工作区目录按约定组织：C001_测试/测试任务/TT001_测试任务1/测试案例/
2. testcase.csv 存在于该目录下","1. 在资源管理器中找到 testcase.csv
2. 双击文件","【业务功能检查】
- 文件以自定义编辑器（表格形式）打开，而非纯文本编辑器
- 编辑器标题栏显示文件名
- 表格表头为 CSV 首行字段名
- 数据行正确渲染为表格行",高
"自定义编辑器注册 - YAML 文件","验证双击合规 YAML 文件时使用表格编辑器打开","1. 工作区目录按约定组织
2. testcase.yaml 存在且包含案例记录","1. 在资源管理器中找到 testcase.yaml
2. 双击文件","【业务功能检查】
- 文件以表格编辑器打开
- 顶层标量字段作为表头列
- 嵌套对象字段显示为对应的统计文本（如 ""[2 项]""），可点击进入明细编辑
- 非标量字段默认显示为空",高
"自定义编辑器注册 - JSON 文件","验证双击合规 JSON 文件时使用表格编辑器打开","1. 工作区目录按约定组织
2. testcase.json 存在且包含案例记录","1. 双击 testcase.json 文件","【业务功能检查】
- 文件以表格编辑器打开
- JSON 对象数组正确解析为表格行
- 嵌套字段识别为明细子表",高
"自定义编辑器 - 非合规目录文件以文本方式打开","验证不在约定目录下的文件使用普通文本编辑器打开","1. 工作区内存在非约定路径下的 CSV 文件（例：/data/test.csv）
2. 插件已激活","1. 双击 /data/test.csv 文件","【业务功能检查】
- 文件以 VS Code 默认文本编辑器打开
- 不会进入自定义表格编辑器
- 无错误弹窗",中
"目录校验 - 必含测试任务/XX_XX/测试案例结构","验证路径合规校验对各层级目录的检查","1. 工作区根目录下存在多个子目录","1. 分别在以下路径放置 CSV 文件并尝试以自定义编辑器打开：
   a. /测试任务/TT001_测试A/测试案例/file.csv（正确）
   b. /测试任务/TT001/测试案例/file.csv（缺少子任务名）
   c. /测试任务/TT001_测试A/案例/file.csv（目录名不对）
   d. /根目录/file.csv（无约定目录）","【业务功能检查】
- a 文件以表格编辑器打开
- b、c、d 文件均以文本编辑器打开
- 无异常崩溃",中
"CSV 解析 - 逗号分隔","验证 CSV 文件使用逗号分隔符的正确解析","1. 准备逗号分隔的 CSV 文件：
   名称,描述,优先级
   case1,这个是测试案例,高
   case2,另一个案例,中","1. 将上述内容保存为 test.csv 并放入合规目录
2. 双击打开","【业务功能检查】
- 表头显示：名称、描述、优先级
- 数据行 1：名称=case1，描述=这个是测试案例，优先级=高
- 数据行 2：名称=case2，描述=另一个案例，优先级=中
- 共 2 行数据",高
"CSV 解析 - 分号分隔","验证 CSV 文件使用分号分隔符的正确解析","1. 准备分号分隔的 CSV 文件：
   名称;描述;优先级
   case1;测试案例;高","1. 将上述内容保存为 test.csv 并放入合规目录
2. 双击打开","【业务功能检查】
- 表头正确识别为：名称、描述、优先级
- 数据行：名称=case1，描述=测试案例，优先级=高",中
"CSV 解析 - Tab 分隔","验证 CSV 文件使用 Tab 分隔符的正确解析","1. 准备 Tab 分隔的 CSV 文件","1. 保存并打开","【业务功能检查】
- 表头和数据均正确解析
- 字段值无多余空格或截断",低
"CSV 解析 - 管道分隔","验证 CSV 文件使用管道符|分隔的正确解析","1. 准备管道分隔的 CSV 文件：
   名称|描述|优先级
   case1|测试|高","1. 保存并打开","【业务功能检查】
- 正确识别管道符为分隔符
- 数据按预期解析",低
"CSV 解析 - 带双引号的字段","验证 CSV 中双引号包裹字段的正确处理","1. 准备 CSV 文件包含双引号字段：
   名称,描述,优先级
   ""case,with,comma"","""嵌套引号""内容",高","1. 保存并打开","【业务功能检查】
- 名称字段值为：case,with,comma（引号被正确去除，内部逗号不分割）
- 描述字段值为：""嵌套引号""内容（内层双引号保留）
- 优先级字段值为：高",中
"CSV 保存 - 数据修改后落盘","验证表格中修改数据后保存能正确写回 CSV 文件","1. CSV 文件已打开在表格编辑器中
2. 文件内容已知","1. 在表格中修改某单元格数据
2. 按 Ctrl+S / Cmd+S 保存
3. 用文本方式打开文件查看内容","【业务功能检查】
- 修改后的数据正确写入文件
- 分隔符与原文件一致
- 文件编码保持 UTF-8
- 引用缩进和换行符合 CSV 规范",高
"YAML 解析 - 顶层数组","验证 YAML 顶层为对象数组的正确解析","1. 准备 YAML 文件内容：
   - name: case1
     priority: 高
     steps:
       - action: 点击
         expected: 成功
   - name: case2
     priority: 中","1. 保存为 testcase.yaml 并放入合规目录
2. 双击打开","【业务功能检查】
- 主表表头显示 name、priority（标量字段）
- steps 字段显示为明细标记（如 ""[1 项]""）
- 共 2 行数据，每行 name 字段正确
- 点击 steps 可打开明细弹窗查看子表",高
