路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/表格编辑器通用能力/行操作/右键插入单行默认,右键菜单在下方插入单行为默认行为,"右键菜单提供「在下方插入」项，内嵌数字输入框默认 1；action=insertRow(S._ctxRow+1, 1)。insertRow 在 at 处 splice 插入空行，新建行 testcase_id 经 genUuidV4() 重新生成（非空且唯一），并同步行高/_rowExpanded/选中集下移（_shiftRowIdxHighlights）。","步骤1:
打开一个 YAML/JSON 案例文件（≥3 行数据）
步骤2:
右键第 2 行数据（非表头）
步骤3:
点击「在下方插入」（输入框保持默认 1）","【业务功能检查】
- 第 2 行下方出现一个空数据行，原第 3 行及之后整体下移为第 4 行等
- 新行的 testcase_id 列自动生成唯一 UUID，不为空
- 主表总行数 +1
- 若文件此前已推送过，新行带「新增」标记（纳入待推送）",高
合并测试阶段/表格编辑器通用能力/行操作/右键插入多行整体撤销,右键插入多行可一次性整体撤销,"右键菜单「在下方插入」输入框填 N（如 3）→ insertRow(at, 3)。count>1 时循环插入，但通过 S._insertRowSkipSideEffects 标记跳过内部逐次 pushHistory/saveFile/renderTable，仅在外层做一次 pushHistory，使 N 行插入可被一次撤销整体回退。","步骤1:
右键第 1 行数据
步骤2:
在「在下方插入」输入框填入 3 并确认
步骤3:
观察插入结果后按一次 Ctrl/Cmd+Z","【业务功能检查】
- 第 1 行下方连续插入 3 个空数据行，主表行数 +3
- 每行 testcase_id 唯一
- 仅按一次撤销即把 3 行全部撤销，无需按 3 次（非逐行撤销栈膨胀）",高
合并测试阶段/表格编辑器通用能力/行操作/右键在上方插入,右键在上方插入位于右键行之前,"右键菜单「在上方插入」项为 insertRow(S._ctxRow, n)，即在右键所在行索引之前插入；与「在下方插入」(at+1) 区分。插入后 _shiftRowIdxHighlights('insert', at) 同步修改/高亮集合索引下移。","步骤1:
右键第 3 行数据
步骤2:
点击「在上方插入」（默认 1）","【业务功能检查】
- 新空行插入为第 3 行，原第 3 行变为第 4 行
- 下方所有行的修改/高亮/选中索引同步下移，不出现错位或丢失
- 主表行数 +1",中
合并测试阶段/表格编辑器通用能力/行操作/插入行同步明细表与集合索引,插入行同步明细表并保持修改高亮集合索引,insertRow 在插入位置同步 rawRowGroups/rawRowTypes 插入空条目，保证与主表 rows 长度一致，避免 buildRowDetailSignature 按行索引误读其他行的明细数据；同时通过 _shiftRowIdxHighlights 把 _addedRowSet/_highlightedCells/_mods 的索引统一偏移。,"步骤1:
准备一个含 steps 明细的案例文件（多行，部分行已标记修改/高亮）
步骤2:
在中间某行右键「在下方插入」
步骤3:
保存后查看 YAML 与主表","【业务功能检查】
- 插入后各行 steps 明细索引正确，未被串到相邻行
- 插入位置下方的「修改」「高亮」标记仍落在原行，不随插入错位
- YAML 落盘结构完整，无因行数不一致导致的明细错乱",中
合并测试阶段/表格编辑器通用能力/行操作/复制选中多行,选中多行后右键复制选中行,先以行选（S.sel）或单元格矩形选区选中 ≥2 行，使其进入 getPushTargetRows()；右键菜单出现「复制选中行 (N)」项 → copySelectedRows：对选中行从后往前依次在各自下方 splice 插入副本（保持索引正确），统一一次 pushHistory。,"步骤1:
选中任意 ≥2 行数据（行号侧点选或多选）
步骤2:
右键选区
步骤3:
点击「复制选中行 (N)」","【业务功能检查】
- 每个选中行下方出现内容相同的副本，共新增 N 行
- 副本与原行一一对应，主表总行数 +N
- 提示「已复制 N 行」
- 一次撤销可整体回退全部副本",高
合并测试阶段/表格编辑器通用能力/行操作/复制行副本深拷贝独立,复制行副本与原行深拷贝互不污染,copySelectedRows / copyRowInline 对源行各字段深拷贝（数组单元格经 v.slice() 克隆，对象同理），副本重新生成 testcase_id 并清空已回写 testCaseNo，确保副本与原行数据相互独立、testcase_id 不重复。,"步骤1:
选中含数组/对象列（如 steps 明细）的一行
步骤2:
右键「在下方复制此行」或「复制选中行」
步骤3:
编辑副本的数组单元格内容
步骤4:
查看原行","【业务功能检查】
- 副本与原行 testcase_id 不同（唯一）
- 副本的数组/对象字段为独立副本，修改副本不影响原行任何字段
- 保存后二者为独立数据行",高
合并测试阶段/表格编辑器通用能力/行操作/单选无选中时隐藏复制多项菜单,仅选单行或不选中时隐藏复制选中行菜单,copySelectedRows 当 getPushTargetRows().length<=1 时直接 return；右键菜单仅在选中行数 >1 时才渲染「复制选中行 (N)」项，否则仅显示单行「在下方复制此行」。,"步骤1:
仅选中 1 行（或不作任何选中）
步骤2:
右键该单元格/行","【业务功能检查】
- 右键菜单不出现「复制选中行」项（因不足 2 行）
- 仅出现「在下方复制此行」单行复制项
- 不会出现空操作或报错",中
合并测试阶段/表格编辑器通用能力/剪贴板/复制矩形选区写入双剪贴板,复制矩形选区写入内部剪贴板与系统剪贴板,copyCell：当矩形选区 >1 格（getCellSelRect 跨行或跨列）→ 将选区组装为二维数组 S.clip（可后续多格粘贴），并以 _quoteTsvField 转义后拼成 TSV 文本；_writeSystemClipboard 同步写入 navigator.clipboard 使 Ctrl+V 也可用，toast「已复制 M 行 × N 列」。明细列从 _readDetailCellRaw 读取真实对象/对象数组而非显示文本。,"步骤1:
框选一段 2×2 的单元格区域
步骤2:
按 Ctrl/Cmd+C（或右键「复制选区」）","【业务功能检查】
- 内部剪贴板 S.clip 为二维数组（2 行 × 2 列）
- 系统剪贴板得到对应的 TSV 文本
- 提示「已复制 2 行 × 2 列」
- 若选区含明细列，复制的是真实对象/对象数组内容",高
合并测试阶段/表格编辑器通用能力/剪贴板/含换行单元格双引号转义保留,含换行的单元格复制后粘贴保留换行,"单格复制时 _cellValueToTsv + _quoteTsvField：单元格值含 
/	/"" 时用双引号包裹，内部 "" 转义为 """"，使 Ctrl+V 经 _parseTsv 解析时把换行视为「字段内容」而非「行分隔符」，避免多行文本被拆成多行。","步骤1:
准备一个含多行文本的单元格（如步骤描述含换行）
步骤2:
复制该单元格
步骤3:
粘贴到另一个空白单元格","【业务功能检查】
- 粘贴后该单元格内容与源完全一致，多行换行完整保留
- 不会被误拆成多行/多列
- 再次复制粘贴依然稳定",高
合并测试阶段/表格编辑器通用能力/剪贴板/过滤模式复制仅可见行,过滤模式下复制只含实际可见行,copyCell 在「仅看失败/列筛选/顶部搜索」等过滤激活时，通过 getSelRectRows() 只取实际可见行组装剪贴板，避免把被隐藏的行内容带入剪贴板。,"步骤1:
开启「仅看失败」或某列筛选，使部分行隐藏
步骤2:
框选一个跨越多行（含隐藏行）的区域
步骤3:
复制","【业务功能检查】
- 剪贴板只含可见行内容，隐藏行不被复制
- 提示的复制行数与可见行数一致
- 取消过滤后原隐藏行数据完好无损",中
合并测试阶段/表格编辑器通用能力/剪贴板/粘贴系统剪贴板引号转义解析,Ctrl加V从系统剪贴板粘贴支持换行转义,"Ctrl/Cmd+V（02b-bind.js）经 navigator.clipboard.readText 读取系统剪贴板，用支持引号转义的 _parseTsv 解析（引号内 
/	/"" 视为字段内容），再从选区左上角铺贴；不支持读取时提示改用右键粘贴。","步骤1:
从 Excel 复制一个含换行的单元格（纯 TSV 或多个单元格）
步骤2:
在主表选中目标区域左上角单元格
步骤3:
按 Ctrl/Cmd+V","【业务功能检查】
- 含换行的单元格完整粘贴为单个单元格内容，未被拆成多行
- 多列数据按列对齐铺贴到目标
- 整块内容写入底层数据模型并刷新主表
- 环境不支持读取剪贴板时给出明确提示",高
