路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/案例编辑器展开步骤/按钮显隐/结构化含steps列显示按钮,结构化文件含steps列时显示展开步骤按钮,updateExpandStepsBtnVisibility：supportsStepsExpansion()(yaml/json) 且 hasStepsColumn()(headers 含 steps) 时 #expandStepsBtn 显示，否则隐藏。,"步骤1:
打开一个 YAML/JSON 案例文件（含 steps 字段）
步骤2:
观察工具栏「展开步骤」按钮","【业务功能检查】
- 工具栏显示「展开步骤」按钮
- 按钮 title 提示「将步骤展开为【步骤描述】+【预期结果】合并文本」
- 点击可进入展开逻辑",高
合并测试阶段/案例编辑器展开步骤/按钮显隐/CSV文件隐藏按钮,CSV文件隐藏展开步骤按钮,CSV 步骤列只是合并文本、无嵌套结构；updateExpandStepsBtnVisibility 对 dataType!==yaml/json 隐藏按钮（display:none）。,"步骤1:
打开一个 CSV 案例文件
步骤2:
观察工具栏","【业务功能检查】
- 「展开步骤」按钮不显示（display:none）
- 即使 CSV 含 steps 文本列，也不提供展开入口",高
合并测试阶段/案例编辑器展开步骤/按钮显隐/结构化无steps列隐藏按钮,结构化文件无steps列时隐藏展开步骤按钮,hasStepsColumn() 要求 headers 含 steps；yaml/json 但无 steps 字段则不显示按钮。,"步骤1:
打开一个 YAML 文件（无 steps 字段）
步骤2:
观察工具栏","【业务功能检查】
- 「展开步骤」按钮不显示
- 不误提供展开入口",中
合并测试阶段/案例编辑器展开步骤/按钮显隐/表头内联展开按钮可触发,表头内联展开按钮触发展开,未展开态下 steps 主表头内的 .xs-th-inline-expand 点击 → 触发 #expandStepsBtn.click() 复用同一套展开/收起逻辑。,"步骤1:
打开含 steps 的 YAML 文件
步骤2:
点击 steps 列表头内的内联展开按钮（箭头）","【业务功能检查】
- 主表 steps 列切换为内联子表格
- 行为与点击工具栏按钮一致
- 展开态下该处变为收起按钮",中
合并测试阶段/案例编辑器展开步骤/展开收起/点击展开切换为内联子表格,点击展开将折叠文本切换为内联子表格,展开分支：遍历 rawRowGroups 经 _buildStepCombined 写回主表 steps 列（含【步骤描述】【数据】【预期结果】），renderTable 后单元格内联渲染 .xs-step-expanded 子表（序号/步骤描述/预期结果/数据/操作）。,"步骤1:
打开含多步骤 YAML 案例
步骤2:
点击「展开步骤」
步骤3:
查看 steps 列","【业务功能检查】
- steps 列由「[N 项]」变为内联子表格
- 每行显示序号、步骤描述、预期结果、数据、操作按钮
- 子表按步骤顺序排列",高
合并测试阶段/案例编辑器展开步骤/展开收起/展开后按钮文案变收起步骤,展开后按钮文案变为收起步骤,展开分支设置 expandStepsBtn.textContent='收起步骤' 并立即持久化（persistUiStateNow）。,"步骤1:
点击「展开步骤」
步骤2:
观察按钮文案","【业务功能检查】
- 按钮文案变为「收起步骤」
- 再次点击即收起",中
合并测试阶段/案例编辑器展开步骤/展开收起/点击收起恢复折叠文本并提示,点击收起恢复折叠文本并提示,收起分支：遍历把 steps 列写回 '[N 项]'；collapsedCount>0 时 renderTable + toast「已收起 X 行步骤」，按钮文案回「展开步骤」。,"步骤1:
展开后再次点击「收起步骤」
步骤2:
查看 steps 列与提示","【业务功能检查】
- steps 列恢复为「[N 项]」折叠文本
- 弹出「已收起 X 行步骤」提示
- 按钮文案回「展开步骤」",高
合并测试阶段/案例编辑器展开步骤/展开收起/空steps不展开,空steps行不渲染子表,展开分支对 rawRowGroups[ri] 为空数组（[]）的行跳过写回，不渲染子表。,"步骤1:
准备含一个空 steps([]) 行的 YAML
步骤2:
点击「展开步骤」","【业务功能检查】
- 空 steps 行保持「[]」不渲染子表
- 有步骤的行正常展开
- 不报错",中
合并测试阶段/案例编辑器展开步骤/内联编辑/展开态点击不弹明细弹窗,展开态点击步骤单元格不弹明细弹窗,展开态下点击 .xs-step-expanded 区块：cell click 处理中 if(S._stepsExpanded) return（不调 openDetailModal），直接内联编辑。,"步骤1:
展开步骤后点击某步骤单元格
步骤2:
观察是否弹出明细弹窗","【业务功能检查】
- 不弹出步骤明细弹窗
- 直接在子表格内编辑
- 与折叠态（点击弹窗）行为区分",高
合并测试阶段/案例编辑器展开步骤/内联编辑/添加步骤,展开态添加步骤,"xseBtnAdd 点击 → _addSubStep(dri,dci,addStep) 在子表新增一行；主表 steps 计数+1。","步骤1:
展开步骤
步骤2:
点击某步骤行的「+」添加按钮
步骤3:
查看子表与主表","【业务功能检查】
- 子表新增一个空步骤行
- 主表 steps 计数+1
- 新增行可内联输入",高
