路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/案例编辑器增强/新行弹窗编辑/对象数组列自动占位,插入新行时对象/数组列自动预置结构化占位,插入新行（右键插入行、批量插入、行复制）时，若涉及明细列或标签集合列，系统自动为该列预置结构化占位（空对象 / 空数组），并提供正确编辑入口，而非留下空白或纯文本。,"步骤1:
在案例编辑器某行下方插入一行新行，该行含一个对象类型的明细列与一个数组类型的标签列
步骤2:
观察新行该两列的默认内容
步骤3:
点击这两列单元格，确认可打开结构化弹窗","【业务功能检查】
- 对象列显示空对象占位（{}），数组列显示空数组占位（[]）
- 两列均可点击打开结构化编辑弹窗，无需先手填原始 JSON
- 占位不被误判为相邻行数据",高
合并测试阶段/案例编辑器增强/新行弹窗编辑/弹窗继承上一行结构,弹窗结构继承上一行同列形态,点击新行明细列单元格打开弹窗，弹窗结构应与上一行同列一致：上一行是单个对象则按对象字段骨架呈现；上一行是步骤列表则按步骤列表呈现并支持步骤增删与移动。,"步骤1:
在已有「步骤列表」结构的一行下方插入新行
步骤2:
点击新行的步骤列表列打开弹窗
步骤3:
对比弹窗结构与上一行是否一致","【业务功能检查】
- 新行弹窗呈现为步骤列表形态（含步骤的增删 / 复制 / 上下移动能力）
- 字段集合与上行的步骤字段对齐（操作、数据、各类预期结果等）
- 若上一行是单对象，则新行弹窗为单对象骨架，不出现步骤操作按钮",高
合并测试阶段/案例编辑器增强/新行弹窗编辑/分类型编辑形态,文本/数组/对象三类字段分别提供合适编辑形态,每个字段按类型提供合适编辑方式：文本用输入框；数组项每项独立编辑可增删；对象字段提供 JSON 编辑并支持格式化与语法高亮。,"步骤1:
打开一行明细列弹窗，确认其中包含文本字段、数组字段、对象字段各一
步骤2:
在对象字段中粘贴一段 JSON，点击格式化
步骤3:
在数组字段中新增一项、删除一项","【业务功能检查】
- 文本字段为普通输入框
- 数组字段每项独立可增删 / 展开
- 对象字段支持一键格式化 JSON 并显示语法高亮（key / 字符串 / 数字 / 布尔以不同颜色区分）",中
合并测试阶段/案例编辑器增强/单元格展示/单元格自动换行展示,单元格内容支持自动换行展示,内容较长的单元格（如长文本描述、多字段步骤摘要）在主表中应自动换行展示，不被截断为单行或横向溢出；行高随内容自动撑开以便完整阅读。,"步骤1:
在案例编辑器某文本列单元格填入一段较长文本（超过列宽）
步骤2:
观察该单元格在主表中的展示形态
步骤3:
调整窗口或列宽，观察换行行为是否稳定","【业务功能检查】
- 较长文本在单元格内自动换行，不出现单行截断或横向滚动溢出
- 行高随换行内容自动撑开，整段文本可见无需横向拖动
- 列宽调整后换行位置自适应，不出现内容丢失",中
合并测试阶段/案例编辑器增强/单元格编辑/单元格手动换行(Alt+Enter),编辑态按 Alt+Enter 插入换行且回写文件带真实换行符,在单元格编辑态（双击进入编辑）应使用 Alt+Enter（Mac 为 Option+Enter）手动插入换行符；换行后的多行内容作为字段值的一部分正确保存，落盘文件保留真实换行符（CSV 表现为字段内含换行并整体引号包裹、YAML 表现为块标量或含换行转义），主表按多行展示，再次打开编辑时换行位置保留。,"步骤1:
双击进入某文本列单元格编辑态
步骤2:
输入第一行内容，按 Alt+Enter（Option+Enter）插入换行符
步骤3:
继续输入第二行内容，按 Ctrl/Cmd+Enter（多行模式下）或失焦提交保存
步骤4:
查看落盘文件中该字段是否包含真实换行符
步骤5:
重新打开文件并再次进入该单元格编辑，确认换行位置保留","【业务功能检查】
- 编辑态按 Alt+Enter 在光标处成功插入换行，光标换至下一行
- 提交保存后字段值包含真实换行符；落盘文件中该字段保留换行（CSV 引号包裹多行、YAML 块标量/转义）
- 主表单元格按多行完整展示，不合并为单行
- 重新打开文件后再次编辑，换行位置与行数保持一致未被丢失",中
合并测试阶段/案例编辑器增强/单元格编辑/手动换行在单行短文本模式,短文本默认单行模式时 Alt+Enter 仍可换行,即使单元格内容未超列宽、行高未被拖大（单行模式），也应支持 Alt+Enter 插入换行，触发多行编辑，而非以 Enter 直接提交。,"步骤1:
双击进入一个内容很短的文本列单元格（未触发自动多行）
步骤2:
输入文字后按 Alt+Enter 插入换行，再输入第二行
步骤3:
按 Ctrl/Cmd+Enter 提交","【业务功能检查】
- 单行模式下 Alt+Enter 仍插入换行（不触发提交）
- 插入换行后进入多行编辑形态，可继续输入多行
- 提交后多行内容正确保存",中
合并测试阶段/案例编辑器增强/单元格编辑/换行与自动换行叠加,手动换行与按列宽自动换行共同决定展示行数,单元格展示行数由「内容中的真实换行符」与「列宽自动 wrap」共同决定：真实换行强制分段，每段再按列宽折行；列宽变化时仅影响自动折行位置，不破坏用户插入的真实换行。,"步骤1:
在某文本列输入「第一行\n第二行」（含一次手动换行）后保存
步骤2:
拖动改变该列列宽，由宽变窄再变宽
步骤3:
观察该单元格展示的行数与分段","【业务功能检查】
- 手动换行将内容分为两段（至少 2 个逻辑行）
- 列宽变窄时每段各自折行（行数增多），变宽时折行减少
- 手动换行符始终保留，逻辑分段不随列宽变化而合并",中
合并测试阶段/案例编辑器增强/单元格编辑/数组编辑器内换行,数组项编辑器支持 Shift+Enter 强制换行,在数组列（如多个预期结果）的多项编辑弹窗中，单个 textarea 项支持 Shift+Enter 强制换行（Enter 为新增一项、Ctrl/⌘+Enter 保存），数组项内多行文本正确保存为该项值。,"步骤1:
双击某数组列打开多项编辑弹窗
步骤2:
在第一个 textarea 输入一行，按 Shift+Enter 插入换行并输入第二行
步骤3:
按 Ctrl/⌘+Enter 保存
步骤4:
重新打开该数组列核对各项内容","【业务功能检查】
- Shift+Enter 在数组项内插入换行，光标换至下一行
- Enter 在项内为新增一项（与换行区分），Ctrl/⌘+Enter 为保存
- 保存后该项值为多行文本，重新打开仍保留换行",中
合并测试阶段/案例编辑器增强/单元格编辑/对象弹窗内多行文本字段,明细对象弹窗的文本字段支持多行换行,在明细列（对象 / 步骤）弹窗的文本类字段中，输入多行文本（Alt+Enter 换行）应被保留为该字段值的一部分，保存后主表 chip 摘要与回写文件均包含换行。,"步骤1:
打开某明细列弹窗，定位其中一个文本字段
步骤2:
在该字段输入多行内容（使用 Alt+Enter 换行）
步骤3:
保存弹窗并查看主表与该行回写文件","【业务功能检查】
- 弹窗文本字段支持多行输入并保留换行
- 主表显示摘要反映多行内容
- 回写文件该字段包含真实换行，推送时按对象值原样下发",中
合并测试阶段/案例编辑器增强/单元格编辑/连续多次Alt+Enter多段换行,连续按 Alt+Enter 可生成多段多行内容,在单元格编辑态可连续多次按 Alt+Enter 插入多个换行符，生成三段及以上多行内容，提交后所有换行符完整保留并按多行展示。,"步骤1:
双击进入某文本列单元格编辑态
步骤2:
输入第一段，按 Alt+Enter；输入第二段，再按 Alt+Enter；输入第三段
步骤3:
提交保存并重新打开该单元格","【业务功能检查】
- 连续 Alt+Enter 在内容中生成多个换行符
- 保存后字段值包含全部换行，主表展示为三段及以上逻辑行
- 重新打开编辑时多段换行位置与数量保持一致",中
