路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/yaml格式校验和修复/yaml不规范检测/逐行规则/R1Tab缩进,行首使用 Tab 缩进被检测为严重错误,R1 tabIndentRule：行首出现 \t 缩进，YAML 不允许 Tab 缩进，severity=error 且 stopOnHit 终止该行其它规则。,"步骤1:
准备一份 YAML，某行以 Tab 开头缩进，如 ""\tkey: value""
步骤在编辑器打开该 YAML 文件（或调用 validateYamlContent 校验）
步骤观察问题面板与对应行波浪线","【业务功能检查】
- 对应行出现红色波浪线（error 级）
- 诊断 message 提示""使用了 Tab 缩进，YAML 规范不允许用 Tab 进行缩进""
- 该行仅报 R1 一条，不再叠加 R2/R3 等（stopOnHit 生效）
- 诊断 source 为「YAML 格式」",高
合并测试阶段/yaml格式校验和修复/yaml不规范检测/逐行规则/R2行内Tab,行中间（非缩进位置）出现 Tab 字符被检测,R2 inlineTabRule：跟踪引号状态，仅替换不在引号内、不在行末空白区间的 Tab 为空格，severity=warning。,"步骤1:
准备 YAML，键与值之间混入 Tab，如 ""key:\tvalue""
步骤校验该文件
步骤查看诊断","【业务功能检查】
- 对应位置出现黄色波浪线（warning 级）
- 提示""字符串内容中包含 Tab 字符，可能被解析为缩进""
- 引号包裹内容内的 Tab 保留不报
- 与行末空白区间的 Tab 不重复诊断（交 R3 处理）",中
合并测试阶段/yaml格式校验和修复/yaml不规范检测/逐行规则/R3行末空格,行末多余空格被检测,R3 trailingSpaceRule：行尾存在空白字符时报 warning，fix 为 rstrip（含不间断空格）。,"步骤1:
准备 YAML，某行末尾带若干空格，如 ""key: value   ""
步骤校验该文件
步骤查看诊断","【业务功能检查】
- 该行出现黄色波浪线，列定位到多余空格起点
- 提示""末尾有多余空格，可能导致缩进层级判断错误""
- fix 为去除行末空白后的整行内容",中
合并测试阶段/yaml格式校验和修复/yaml不规范检测/逐行规则/R4冒号后缺空格,键名冒号后缺少空格被检测,"R4 colonSpaceRule：检测到""真冒号""后紧跟非空格非数字非引号字符时报 warning，并让位 R5/R7 避免 fix 冲突。","步骤1:
准备 YAML，如 ""name:hello""（冒号后无空格）
步骤校验该文件
步骤查看诊断","【业务功能检查】
- 出现黄色波浪线，提示""冒号后缺少空格，字段的值未被正确识别""
- 若值含歧义词或保留字符，R4 让位 R5/R7 由后者一步生成带空格的引号 fix
- ""key: 123""（数字）与 ""key: \""a\""""（引号）不报 R4",中
合并测试阶段/yaml格式校验和修复/yaml不规范检测/逐行规则/R8列表项缺空格,"列表项 ""-"" 后缺少空格被检测","R8 dashSpaceRule：行首缩进后 ""-"" 紧跟非空白非破折号字符时报 warning（排除 ""--""/""---"" 分隔符）。","步骤1:
准备 YAML，序列项写为 ""-item"" 或 ""-{a}""
步骤校验该文件
步骤查看诊断","【业务功能检查】
- 出现黄色波浪线，提示""序列符号 \""- \"" 后缺少空格，YAML 无法识别为列表项""
- ""- ""（合法）、""---""（文档分隔符）不报
- fix 为在 ""-"" 后补一个空格",中
合并测试阶段/yaml格式校验和修复/yaml不规范检测/逐行规则/R5歧义值,值写法为布尔、null、特殊数值会被歧义解析被检测,R5 ambiguousValueRule：值命中 getAmbiguousType（true/false/yes/no/on/off/null/~/.inf/.nan 等大小写）且未加引号时报 warning。,"步骤1:
准备 YAML，如 ""enabled: yes""、""count: .inf""、""deleted: null""
步骤校验该文件
步骤查看诊断","【业务功能检查】
- 对应值出现黄色波浪线，提示""会被 YAML 解析为布尔值/空值 null/特殊数值，如需字符串请加引号""
- 已加引号的值（如 ""\""yes\"""")不报
- 覆盖需求所述 17 种常见歧义关键词大小写形式",高
合并测试阶段/yaml格式校验和修复/yaml不规范检测/逐行规则/R6值中井号,值中的 # 会被当作注释丢弃被检测,"R6 hashInValueRule：值段中 "" #"" 紧贴且后接非空文本时报 warning，并对齐尾注释（gap>=2 空格）豁免。","步骤1:
准备 YAML，如 ""url: http://abc #section""（值中 #）
步骤再准备 ""enabled: yes           # 对齐注释""（值后远处对齐注释）分别校验
步骤查看两例诊断差异","【业务功能检查】
- 例1 出现黄色波浪线，提示""值中包含 #，会被当作注释丢弃，如需保留请用引号包裹""
- 例2（gap>=2 对齐尾注释）豁免不报，避免误吞合法注释
- fix 仅包裹""值+紧贴 #伪注释段""，保留真正的对齐尾注释",高
合并测试阶段/yaml格式校验和修复/yaml不规范检测/逐行规则/R7保留字符,值中含 YAML 保留字符被检测,R7 reservedCharRule：值含 {}[]&*!>| 且未加引号、非合法 YAML 指示符时报 warning。,"步骤1:
准备 YAML，如 ""value: {a,b}""、""note: a*b""、""path: c|d""
步骤再准备合法指示符 ""list: [a,b]""、""block: |"" 分别校验
步骤查看诊断","【业务功能检查】
- 例1 出现黄色波浪线，提示""值中包含 YAML 保留字符""及说明
- 合法 flow 集合 / 块标量头 / alias / anchor / tag 被豁免不报
- fix 为给值整体加引号",高
合并测试阶段/yaml格式校验和修复/yaml不规范检测/逐行规则/R9块标量头被引号包裹,块标量指示符被引号包裹导致多行内容丢失被检测,"R9 quotedBlockScalarRule：值整体为被引号包裹的块标量头（如 ""|""、"">""、""|-""）时报 warning，并向 parser 兜底层告知级联抑制。","步骤1:
准备 YAML，""description: \""|\""""（块标量头被引号包裹），其后有更深缩进续行
步骤校验该文件
步骤查看诊断与续行是否被误注释","【业务功能检查】
- 出现黄色波浪线，提示""块标量指示符被引号包裹，后续缩进行会被误注释""
- fix 为去掉引号使块标量头生效
- parser 对续行的级联 same-column 错误被抑制，不注释化无辜行",高
合并测试阶段/yaml格式校验和修复/yaml不规范检测/文件级规则/F1重复key,同一作用域内字段名重复被检测,F1 duplicateKeyRule：维护缩进分层的 map 作用域栈，同一作用域内 key 重复时第二条报 warning。,"步骤1:
准备 YAML，同一层级出现两个相同 key，如 ""name: a"" 与 ""name: b""
步骤再准备嵌套不同作用域的同名 key、以及序列各 item 内同名 key 各一例分别校验
步骤查看诊断","【业务功能检查】
- 重复行出现黄色波浪线，提示""key 与第 N 行重复，后者会覆盖前者""
- 不同缩进层级（不同作用域）的同名 key 不报
- 序列每个 ""-"" item 独立作用域，各自内部重复才报
- fix 为将重复行改为 ""# [duplicate key removed] ..."" 注释（保留原内容）",高
