路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/新增测试案例文件/入口触发/右键子菜单显示,资源管理器右键测试案例目录文件夹显示新增测试案例子菜单,验证在 测试任务/<任务名>/测试案例 文件夹上右键时，资源管理器上下文菜单出现「新增测试案例」子菜单，展开后可选择新建 CSV 或 YAML 格式的案例文件。,"步骤1:
在资源管理器中定位到「测试任务/任务A/测试案例」文件夹
步骤2:
右键点击该文件夹
步骤3:
观察弹出的上下文菜单","【业务功能检查】
- 菜单中出现「新增测试案例」子菜单项
- 子菜单展开后包含「CSV (.csv)」与「YAML (.yaml)」两项
- 该菜单仅在测试案例目录/文件上出现，不在其它目录（如测试大纲）出现",高
合并测试阶段/新增测试案例文件/入口触发/右键子文件夹显示,右键测试案例下任意子文件夹显示新增测试案例子菜单,验证当右键位置位于 测试任务/<任务名>/测试案例/ 之下的任意子文件夹时，同样弹出「新增测试案例」子菜单，新文件将在该子文件夹下创建。,"步骤1:
在「测试任务/任务A/测试案例」下新建或定位子文件夹「登录模块」
步骤2:
右键点击「登录模块」子文件夹
步骤3:
观察上下文菜单","【业务功能检查】
- 出现「新增测试案例」子菜单
- 选择格式后，新文件创建于「登录模块」子文件夹内
- 不会误创建到上级「测试案例」根目录",高
合并测试阶段/新增测试案例文件/入口触发/右键已有案例文件显示,右键已有案例文件显示新增测试案例子菜单,验证在测试案例目录下已有的 .csv、.yaml、.yml、.json 文件上右键时，同样出现「新增测试案例」子菜单，且新文件创建在右键文件所在的同一目录。,"步骤1:
在「测试案例」目录下分别右键 案例A.csv、案例B.yaml、案例C.yml、案例D.json
步骤2:
在每种情况下选择「新增测试案例」子菜单中的 CSV 项
步骤3:
核对新文件创建位置","【业务功能检查】
- 四种扩展名文件右键均出现子菜单
- 新文件与所右键文件处于同一目录
- 新文件默认名为「未命名测试案例.csv」系列",高
合并测试阶段/新增测试案例文件/入口触发/非测试案例目录不显示,右键非测试案例目录不显示新增测试案例菜单,验证在测试大纲、任务根目录等非测试案例位置右键时，不会出现「新增测试案例」菜单，避免误建文件到错误目录。,"步骤1:
右键「测试任务/任务A/测试大纲」文件夹
步骤2:
右键「测试任务/任务A」根文件夹
步骤3:
分别观察上下文菜单","【业务功能检查】
- 上述位置均不出现「新增测试案例」子菜单
- 测试大纲位置仅出现「新增测试要点」子菜单（互不串菜单）",中
合并测试阶段/新增测试案例文件/入口触发/命令面板入口,命令面板可执行新增测试案例命令并弹出格式选择,验证通过命令面板输入「新增测试案例」并回车后可触发新建流程，并弹出 CSV/YAML 格式选择框，选择后文件按当前所在测试案例目录创建。,"步骤1:
按 Cmd+Shift+P(Mac)/Ctrl+Shift+P(Win) 打开命令面板
步骤2:
输入「新增测试案例」并回车
步骤3:
在弹出的格式选择框中选择「CSV (.csv)」","【业务功能检查】
- 命令面板可检索到「新增测试案例」
- 执行后弹出格式选择框（CSV/YAML）
- 选择后按当前活动文件所在测试案例目录创建文件",中
合并测试阶段/新增测试案例文件/入口触发/快速创建命令可用,命令面板新增测试案例快速在测试案例目录下可用,验证当活动文件位于测试案例目录下时，命令面板的「新增测试案例(快速)」可直接以该目录为目标创建文件并弹出格式选择。,"步骤1:
打开「测试任务/任务A/测试案例/任意文件」使其为活动文件
步骤2:
命令面板执行「新增测试案例(快速)」
步骤3:
在格式选择框中选择格式","【业务功能检查】
- 命令在测试案例目录下可触发
- 以活动文件所在测试案例目录（或其父目录）作为目标目录
- 正常创建新文件",中
合并测试阶段/新增测试案例文件/入口触发/快速创建非测试目录警告,新增测试案例快速在非测试案例目录时给出警告且不创建,验证当活动文件不在测试案例目录下时，执行「新增测试案例(快速)」会给出明确警告且不创建任何文件。,"步骤1:
打开一个位于非测试案例目录（如桌面/其它项目）的文件作为活动文件
步骤2:
命令面板执行「新增测试案例(快速)」
步骤3:
观察提示与文件系统中是否产生新文件","【业务功能检查】
- 弹出警告「请在测试案例目录下使用此命令，或在资源管理器中右键点击测试案例文件夹」
- 不创建任何文件
- 不产生无意义的空文件或报错崩溃",中
合并测试阶段/新增测试案例文件/目录校验/测试案例根目录创建,在测试案例根目录下创建成功,验证在「测试任务/任务名/测试案例」根文件夹上新建案例文件时，文件创建于该目录并可正常打开编辑。,"步骤1:
右键「测试任务/任务A/测试案例」文件夹
步骤2:
选择「新增测试案例→CSV」
步骤3:
将文件名改为「功能验证」并回车","【业务功能检查】
- 文件成功创建于「测试任务/任务A/测试案例/功能验证.csv」
- 文件自动以插件表格编辑器打开
- 文件名处于可编辑（inline）状态",高
合并测试阶段/新增测试案例文件/目录校验/测试案例子目录创建,在测试案例下的多级子目录中创建成功,验证在测试案例目录下的子文件夹（如多级目录）上新建文件时，文件创建于该子文件夹内且层级保持正确。,"步骤1:
在「测试任务/任务A/测试案例/支付/退款」子目录上右键
步骤2:
选择「新增测试案例→YAML」
步骤3:
命名并确认","【业务功能检查】
- 文件创建于「退款」子目录内
- 路径层级保持正确，不被提升到根目录",中
合并测试阶段/新增测试案例文件/目录校验/非测试案例目录拒绝,目标路径不含测试案例时拒绝创建并提示,验证当新建位置不在测试案例目录体系内时，系统拒绝创建并给出明确提示，不生成游离文件。,"步骤1:
在「测试任务/任务A/测试大纲」文件夹上右键
步骤2:
尝试通过新增测试案例流程创建文件
步骤3:
观察行为","【业务功能检查】
- 弹出警告「只能在测试案例目录或其子文件夹中创建新测试案例」
- 不创建任何文件
- 工作区文件结构不被破坏",高
