路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/仅改被编辑行不动其余,YAML 推送后仅被编辑字段更新，其余内容原样保留,推送 / 保存 YAML 案例时，系统以 testcase_id 为主键将当前编辑行与原始记录逐行对齐，仅替换被改动的字段值，未改动的字段沿用原始记录，不整体重写文件。,"步骤1:
新建一个含多行案例的 YAML 文件，其中部分行（如第 3 行）的预期结果字段填有内容、并带文件头注释与行间注释
步骤2:
仅将第 5 行的「优先级」字段改为「高」，其余行不改动
步骤3:
执行推送或保存文件，并用文本编辑器重新打开该 YAML 文件比对","【业务功能检查】
- 仅第 5 行的优先级字段被更新为「高」
- 第 3 行原有预期结果、文件头注释、行间注释均完整保留，未被清空或重写
- 文件整体排版（缩进、空行）与被编辑前一致，未发生整篇重排",高
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/新插入行不继承相邻行数据,新增行无法匹配主键时明细字段回退空结构,对于新增且无法在原始数据中匹配到 testcase_id 的行，其明细字段（对象 / 对象数组）回退为空结构，而非错误继承相邻原始行的数据。,"步骤1:
在 YAML 案例文件中插入一行新案例，暂不填 testcase_id（或填一个全新的、文件中不存在的 id）
步骤2:
在该新行的步骤对象列填入部分数据，保存文件
步骤3:
重新打开文件，检查新行数据与相邻旧行是否相互独立","【业务功能检查】
- 新插入行的明细字段（如 steps）为独立的空对象 / 空数组起步，不显示为相邻旧行的数据副本
- 相邻旧行的对象 / 数组数据保持不变
- 不存在「新行刷新后被相邻行覆盖」的错位现象",高
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/顶层形态维持,原文件顶层数组/单对象结构推送后保持一致,原文件顶层是数组（多条）则回写仍为数组；原文件是单个对象（单条）则维持单对象；系统识别并保留该形态，不擅自在数组与单对象间转换。,"步骤1:
准备两份文件：一份顶层为案例对象数组（多条），一份顶层为单个案例对象（单条）
步骤2:
分别编辑其中一行并推送 / 保存
步骤3:
用文本编辑器查看两份文件顶层结构","【业务功能检查】
- 数组文件推送后仍是最外层数组，条目数量与顺序正确
- 单对象文件推送后仍是最外层单个对象，未变成数组
- 不发生数组与单对象之间的错误转换",高
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/多行文本块标量保留,字段含多行文本以块标量输出不被转义,字段值中的换行（如步骤描述、SQL）以 YAML 块标量（|- 字面量）形式输出，避免把换行写成转义字符破坏可读性；原文件使用的块标量语义在可识别范围内予以保留。,"步骤1:
在 YAML 案例某字段填入含多行换行的值（如 steps 中某步骤的描述跨多行、含 SQL 语句）
步骤2:
保存 / 推送后重新打开文件
步骤3:
检查该字段在文件中的存储形态","【业务功能检查】
- 多行内容以块标量（|-）形式保留，换行清晰可读
- 换行未被写成 \n 字面转义字符
- 重新打开后多行文本完整无丢失",高
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/注释保护,保存仅重写数据行不清除注释,保存 / 推送仅重写被编辑的数据行，不重写整文件，从而不清除文件头部说明注释、行间注释等原有内容。,"步骤1:
在 YAML 文件顶部写一段说明注释，并在若干数据行之间插入行间注释
步骤2:
仅修改某一行的单个字段并保存
步骤3:
重新打开文件查看注释是否留存","【业务功能检查】
- 文件顶部说明注释完整保留
- 行间注释未被删除或移位
- 仅被编辑数据行发生变化",中
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/插入删除排序后对齐,插入/删除/排序后主键正确对齐不串数据,在插入、删除或调整行顺序后推送，各行以 testcase_id 为主键正确对应原始记录，不出现「相邻行数据错位覆盖」。,"步骤1:
对 YAML 案例文件做三种操作之一：在中间插入新行、删除某行、将两行上下调换
步骤2:
编辑其中一行并保存 / 推送
步骤3:
重新打开确认每一行的字段归属正确","【业务功能检查】
- 经过插入 / 删除 / 排序后，各行的字段仍正确归属到对应 testcase_id
- 不出现某行数据被误写到另一行（错位覆盖）
- 删除行的数据不残留在其它行",高
合并测试阶段/yaml解析增强-推送保留原文/安全降级/严重错误切换文本编辑器,语法严重错误无法解析时切换文本编辑器并定位首错行,用户打开 YAML 案例文件时，系统在编辑器标签页出现的瞬间同步预检内容；一旦检测到致命语法错误，立即关闭案例编辑器标签页、改用普通文本编辑器打开，光标定位到首条错误行。,"步骤1:
准备一个语法严重错误（如缩进错乱导致无法解析为表结构）的 YAML 文件
步骤2:
从资源管理器双击打开该文件
步骤3:
观察打开后的编辑器形态与光标位置","【业务功能检查】
- 未展示空表 / 数据丢失的过渡页，直接以文本编辑器打开
- 光标自动定位到首条语法错误所在行
- 弹窗提示错误数量，并提供修复 / 查看问题面板入口",高
合并测试阶段/yaml解析增强-推送保留原文/安全降级/错误行号一致,提示行号与问题面板数据源一致,切换文本编辑器后，提示框与光标定位使用的错误行号，必须与问题面板（Problems）中展示的行号来自同一份校验结果，确保用户点击可对齐。,"步骤1:
打开一个含多处语法错误的 YAML 文件
步骤2:
记录弹窗提示的「首条错误行号」
步骤3:
打开问题面板（Problems）查看同一文件的错误列表","【业务功能检查】
- 弹窗提示的首条错误行号与问题面板首条错误行号一致
- 两者指向同一物理行，无偏移",中
合并测试阶段/yaml解析增强-推送保留原文/安全降级/双保险兜底,预检未拦截时兜底仍切换文本编辑器,除「打开即预检」路径外，若因时序等原因未能拦截，编辑器内部仍有兜底逻辑在解析失败时静默切换到文本编辑器（不重复弹提示、不重复拉光标）。,"步骤1:
模拟预检路径未生效的时序场景（如通过命令直接以案例编辑器视图类型打开一个错误文件）
步骤2:
观察最终结果是否仍停留在空表","【业务功能检查】
- 用户最终不会停留在空表 / 数据丢失状态
- 兜底路径不重复弹 Toast、不重复拉光标（与预检路径不冲突）",中
合并测试阶段/yaml解析增强-推送保留原文/安全降级/校验器异常安全降级,校验器自身异常时仍安全降级,即使语法校验器自身异常，也按「安全降级」处理——直接以文本编辑器打开并提示用户手动检查，而非展示崩溃态。,"步骤1:
构造使校验器抛出异常的场景（如文件极大或编码异常）
步骤2:
打开该文件","【业务功能检查】
- 文件以文本编辑器打开并提示用户手动检查
- 不展示崩溃 / 报错白屏
- 不阻断用户对文件的访问",中
